"numberOfHits","database","id","symbol","name","synonyms__001","synonyms__002","synonyms__003","synonyms__004","synonyms__005","synonyms__006","synonyms__007","synonyms__008","synonyms__009","type","taxonId","databaseSubset","parentId","proteome","pageInfo","facet"
"","UniProtKB","Q02556","IRF8","Interferon regulatory factor 8","IRF8","ICSBP1","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q02577","NHLH2","Helix-loop-helix protein 2","NHLH2","BHLHA34","HEN2","KIAA0490","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q05066","SRY","Sex-determining region Y protein","SRY","TDF","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q08ER8","ZNF543","Zinc finger protein 543","ZNF543","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O00321","ETV2","ETS translocation variant 2","ETV2","ER71","ETSRP71","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O00716","E2F3","Transcription factor E2F3","E2F3","KIAA0075","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O14770","MEIS2","Homeobox protein Meis2","MEIS2","MRG1","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O14901","KLF11","Krueppel-like factor 11","KLF11","FKLF","TIEG2","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O14978","ZNF263","Zinc finger protein 263","ZNF263","FPM315","ZKSCAN12","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O15409","FOXP2","Forkhead box protein P2","FOXP2","CAGH44","TNRC10","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O15516","CLOCK","Circadian locomoter output cycles protein kaput","CLOCK","BHLHE8","KIAA0334","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q3KNW1","SNAI3","Zinc finger protein SNAI3","SNAI3","ZNF293","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q3KQV3","ZNF792","Zinc finger protein 792","ZNF792","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q3SYB3","FOXD4L6","Forkhead box protein D4-like 6","FOXD4L6","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q6ISB3","GRHL2","Grainyhead-like protein 2 homolog","GRHL2","BOM","TFCP2L3","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q6P280","ZNF529","Zinc finger protein 529","ZNF529","KIAA1615","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q6ZMY9","ZNF517","Zinc finger protein 517","ZNF517","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q7RTS3","PTF1A","Pancreas transcription factor 1 subunit alpha","PTF1A","BHLHA29","PTF1P48","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q7RTU0","TCF24","Transcription factor 24","TCF24","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q5JUK2","SOHLH1","Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1","SOHLH1","C9orf157","NOHLH","TEB2","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q5SVQ8","ZBTB41","Zinc finger and BTB domain-containing protein 41","ZBTB41","FRBZ1","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q32MQ0","ZNF750","Zinc finger protein 750","ZNF750","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q5VIY5","ZNF468","Zinc finger protein 468","ZNF468","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q68DY1","ZNF626","Zinc finger protein 626","ZNF626","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q6EKJ0","GTF2IRD2B","General transcription factor II-I repeat domain-containing protein 2B","GTF2IRD2B","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O43365","HOXA3","Homeobox protein Hox-A3","HOXA3","HOX1E","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O43435","TBX1","T-box transcription factor TBX1","TBX1","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O43889","CREB3","Cyclic AMP-responsive element-binding protein 3","CREB3","LZIP","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O75360","PROP1","Homeobox protein prophet of Pit-1","PROP1","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O95416","SOX14","Transcription factor SOX-14","SOX14","SOX28","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O95475","SIX6","Homeobox protein SIX6","SIX6","OPTX2","SIX9","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O95625","ZBTB11","Zinc finger and BTB domain-containing protein 11","ZBTB11","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O95718","ESRRB","Steroid hormone receptor ERR2","ESRRB","ERRB2","ESRL2","NR3B2","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O95936","EOMES","Eomesodermin homolog","EOMES","TBR2","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P06401","PGR","Progesterone receptor","PGR","NR3C3","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P0CJ79","ZNF888","Zinc finger protein 888","ZNF888","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P10075","GLI4","Zinc finger protein GLI4","GLI4","HKR4","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P11161","EGR2","E3 SUMO-protein ligase EGR2","EGR2","KROX20","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P12524","MYCL","Protein L-Myc","MYCL","BHLHE38","LMYC","MYCL1","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P12980","LYL1","Protein lyl-1","LYL1","BHLHA18","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P13631","RARG","Retinoic acid receptor gamma","RARG","NR1B3","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P15172","MYOD1","Myoblast determination protein 1","MYOD1","BHLHC1","MYF3","MYOD","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P15173","MYOG","Myogenin","MYOG","BHLHC3","MYF4","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P15884","TCF4","Transcription factor 4","TCF4","BHLHB19","ITF2","SEF2","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P16415","ZNF823","Zinc finger protein 823","ZNF823","ZFP36","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P17021","ZNF17","Zinc finger protein 17","ZNF17","KIAA1947","KOX10","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P17027","ZNF23","Zinc finger protein 23","ZNF23","KOX16","ZNF359","ZNF612","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P17032","ZNF37A","Zinc finger protein 37A","ZNF37A","KOX21","ZNF37","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P17039","ZNF30","Zinc finger protein 30","ZNF30","KOX28","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P17483","HOXB4","Homeobox protein Hox-B4","HOXB4","HOX2F","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P28356","HOXD9","Homeobox protein Hox-D9","HOXD9","HOX4C","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P35638","DDIT3","DNA damage-inducible transcript 3 protein","DDIT3","CHOP","CHOP10","GADD153","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P35713","SOX18","Transcription factor SOX-18","SOX18","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P37275","ZEB1","Zinc finger E-box-binding homeobox 1","ZEB1","AREB6","TCF8","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P39880","CUX1","Homeobox protein cut-like 1","CUX1","CUTL1","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P43694","GATA4","Transcription factor GATA-4","GATA4","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P50221","MEOX1","Homeobox protein MOX-1","MEOX1","MOX1","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P51449","RORC","Nuclear receptor ROR-gamma","RORC","NR1F3","RORG","RZRG","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P57071","PRDM15","PR domain zinc finger protein 15","PRDM15","C21orf83","ZNF298","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P58012","FOXL2","Forkhead box protein L2","FOXL2","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P78426","NKX6-1","Homeobox protein Nkx-6.1","NKX6-1","NKX6A","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","P81133","SIM1","Single-minded homolog 1","SIM1","BHLHE14","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q00978","IRF9","Interferon regulatory factor 9","IRF9","ISGF3G","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8IUX7","AEBP1","Adipocyte enhancer-binding protein 1","AEBP1","ACLP","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8IYA7","MKX","Homeobox protein Mohawk","MKX","C10orf48","IRXL1","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8IYB9","ZNF595","Zinc finger protein 595","ZNF595","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8IZC7","ZNF101","Zinc finger protein 101","ZNF101","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8N100","ATOH7","Protein atonal homolog 7","ATOH7","ATH5","BHLHA13","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8N141","ZFP82","Zinc finger protein 82 homolog","ZFP82","KIAA1948","ZNF545","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8N1G0","ZNF687","Zinc finger protein 687","ZNF687","KIAA1441","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8N5J4","SPIC","Transcription factor Spi-C","SPIC","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8N7M2","ZNF283","Zinc finger protein 283","ZNF283","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8NA42","ZNF383","Zinc finger protein 383","ZNF383","HSD17","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8NAP8","ZBTB8B","Zinc finger and BTB domain-containing protein 8B","ZBTB8B","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8NBF1","GLIS1","Zinc finger protein GLIS1","GLIS1","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8NDY6","BHLHE23","Class E basic helix-loop-helix protein 23","BHLHE23","BHLHB4","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8NFJ8","BHLHE22","Class E basic helix-loop-helix protein 22","BHLHE22","BHLHB5","TNRC20","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8TAU0","NKX2-3","Homeobox protein Nkx-2.3","NKX2-3","NKX23","NKX2C","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8TD17","ZNF398","Zinc finger protein 398","ZNF398","KIAA1339","ZER6","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8TF68","ZNF384","Zinc finger protein 384","ZNF384","CAGH1","CIZ","NMP4","TNRC1","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8WV37","ZNF480","Zinc finger protein 480","ZNF480","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q8WYN3","CSRNP3","Cysteine/serine-rich nuclear protein 3","CSRNP3","FAM130A2","TAIP2","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q7Z3V5","ZNF571","Zinc finger protein 571","ZNF571","HSPC059","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q86UE3","ZNF546","Zinc finger protein 546","ZNF546","ZNF49","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q86V71","ZNF429","Zinc finger protein 429","ZNF429","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9H2W2","MIXL1","Homeobox protein MIXL1","MIXL1","MIXL","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9H2Z4","NKX2-4","Homeobox protein Nkx-2.4","NKX2-4","NKX2D","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9H9D4","ZNF408","Zinc finger protein 408","ZNF408","PFM14","PRDM17","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9HBT8","ZNF286A","Zinc finger protein 286A","ZNF286A","KIAA1874","ZNF286","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9HCC6","HES4","Transcription factor HES-4","HES4","BHLHB42","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9HCK0","ZBTB26","Zinc finger and BTB domain-containing protein 26","ZBTB26","KIAA1572","ZNF481","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9HCL3","ZFP14","Zinc finger protein 14 homolog","ZFP14","KIAA1559","ZNF531","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9NQX1","PRDM5","PR domain zinc finger protein 5","PRDM5","PFM2","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9NQX6","ZNF331","Zinc finger protein 331","ZNF331","RITA","ZNF361","ZNF463","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9NU39","FOXD4L1","Forkhead box protein D4-like 1","FOXD4L1","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9NUA8","ZBTB40","Zinc finger and BTB domain-containing protein 40","ZBTB40","KIAA0478","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9NWS9","ZNF446","Zinc finger protein 446","ZNF446","ZKSCAN20","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9NYT6","ZNF226","Zinc finger protein 226","ZNF226","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9P2F5","STOX2","Storkhead-box protein 2","STOX2","KIAA1392","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9UHL9","GTF2IRD1","General transcription factor II-I repeat domain-containing protein 1","GTF2IRD1","CREAM1","GTF3","MUSTRD1","RBAP2","WBSCR11","WBSCR12","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9UII5","ZNF107","Zinc finger protein 107","ZNF107","ZFD25","ZNF588","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9UKY1","ZHX1","Zinc fingers and homeoboxes protein 1","ZHX1","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9UMQ3","BARX2","Homeobox protein BarH-like 2","BARX2","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9UMR3","TBX20","T-box transcription factor TBX20","TBX20","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9UPM6","LHX6","LIM/homeobox protein Lhx6","LHX6","LHX6.1","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9Y2G7","ZFP30","Zinc finger protein 30 homolog","ZFP30","KIAA0961","ZNF745","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9Y5J3","HEY1","Hairy/enhancer-of-split related with YRPW motif protein 1","HEY1","BHLHB31","CHF2","HERP2","HESR1","HRT1","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9Y5X4","NR2E3","Photoreceptor-specific nuclear receptor","NR2E3","PNR","RNR","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9Y6R6","ZNF780B","Zinc finger protein 780B","ZNF780B","ZNF779","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q92618","ZNF516","Zinc finger protein 516","ZNF516","KIAA0222","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q92786","PROX1","Prospero homeobox protein 1","PROX1","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q96BR6","ZNF669","Zinc finger protein 669","ZNF669","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q96C00","ZBTB9","Zinc finger and BTB domain-containing protein 9","ZBTB9","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q96C28","ZNF707","Zinc finger protein 707","ZNF707","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q96CS4","ZNF689","Zinc finger protein 689","ZNF689","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q96GC6","ZNF274","Neurotrophin receptor-interacting factor homolog","ZNF274","ZKSCAN19","SP2114","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q96GE5","ZNF799","Zinc finger protein 799","ZNF799","ZNF842","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q96HQ0","ZNF419","Zinc finger protein 419","ZNF419","ZNF419A","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q96ME7","ZNF512","Zinc finger protein 512","ZNF512","KIAA1805","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q96NX9","DACH2","Dachshund homolog 2","DACH2","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q99081","TCF12","Transcription factor 12","TCF12","BHLHB20","HEB","HTF4","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q99626","CDX2","Homeobox protein CDX-2","CDX2","CDX3","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q99676","ZNF184","Zinc finger protein 184","ZNF184","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q99941","ATF6B","Cyclic AMP-dependent transcription factor ATF-6 beta","ATF6B","CREBL1","G13","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9BSG1","ZNF2","Zinc finger protein 2","ZNF2","ZNF661","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9BSK1","ZNF577","Zinc finger protein 577","ZNF577","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9BUY5","ZNF426","Zinc finger protein 426","ZNF426","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9BWW7","SCRT1","Transcriptional repressor scratch 1","SCRT1","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9BXK1","KLF16","Krueppel-like factor 16","KLF16","BTEB4","NSLP2","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9BZI1","IRX2","Iroquois-class homeodomain protein IRX-2","IRX2","IRXA2","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q9C0F3","ZNF436","Zinc finger protein 436","ZNF436","KIAA1710","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q3C1V8","BSX","Brain-specific homeobox protein homolog","BSX","BSX1","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","A0A1B0GWH4","HSFX3","Heat shock transcription factor, X-linked member 3","HSFX3","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","A6NJT0","UNCX","Homeobox protein unc-4 homolog","UNCX","UNCX4.1","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","A6NK53","ZNF233","Zinc finger protein 233","ZNF233","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","A8MUV8","ZNF727","Putative zinc finger protein 727","ZNF727","ZNF727P","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","A8MZ59","LEUTX","Paired-like homeodomain transcription factor LEUTX","LEUTX","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O00409","FOXN3","Forkhead box protein N3","FOXN3","C14orf116","CHES1","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","O00712","NFIB","Nuclear factor 1 B-type","NFIB","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
