Entry	Gene ontology IDs	Cross-reference (InterPro)
A6NHT5	GO:0000785; GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0007420; GO:0007566; GO:0030154; GO:0042472; GO:0050885; GO:0060135	IPR009057;IPR017970;IPR001356;IPR020479;
A6NI15	GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001707; GO:0001756; GO:0003682; GO:0005634; GO:0006357; GO:0007379; GO:0030154; GO:0046983; GO:1990837	IPR011598;IPR036638;IPR040259;
A6NIX2	GO:0000932; GO:0001666; GO:0003714; GO:0005634; GO:0005667; GO:0005912; GO:0006355; GO:0007010; GO:0022604; GO:0030030; GO:0035195; GO:0035331; GO:0046872; GO:2000637	IPR001781;
A6NJ08		IPR032343;IPR025884;
A6NJ46	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0001709; GO:0002067; GO:0005634; GO:0006357; GO:0030154; GO:0030857; GO:0043565; GO:0045944; GO:1990837	IPR009057;IPR017970;IPR001356;IPR020479;IPR000047;
A6NJG6	GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:1990837	IPR009057;IPR017970;IPR001356;
A6NJL1	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872	IPR003309;IPR038269;IPR036236;IPR013087;
A6NJT0	GO:0000785; GO:0000981; GO:0001502; GO:0005634; GO:0007389; GO:0010468; GO:0021516; GO:0021889; GO:0035726; GO:0045595; GO:1990837	IPR009057;IPR017970;IPR001356;
A6NK06	GO:0002760; GO:0005739; GO:0006952; GO:0006954; GO:0007566; GO:0032088; GO:0032480; GO:0034136; GO:0034144; GO:0035458; GO:0045824; GO:0047613; GO:0050728; GO:0051607; GO:0071219; GO:0071222; GO:0071346; GO:0071347; GO:0071356; GO:0071393; GO:0072573; GO:2000379	IPR036148;IPR042183;IPR042188;IPR005656;
A6NK53	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A6NK75	GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A6NKF2	GO:0003677; GO:0003682; GO:0005634; GO:0005737; GO:0006357; GO:0045121; GO:0045944	IPR001606;IPR036431;IPR023334;
A6NLW8	GO:0000785; GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:1990837	IPR009057;IPR001356;IPR000047;
A6NM28	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A6NMK7	GO:0003723; GO:0005847; GO:0046872; GO:0098789	IPR000571;IPR036855;
A6NMT0	GO:0000785; GO:0000981; GO:0003677; GO:0005634; GO:0006357; GO:0021515; GO:0021521	IPR009057;IPR017970;IPR001356;IPR020479;IPR000047;
A6NN14	GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A6NNA5	GO:0000785; GO:0000977; GO:0000981; GO:0001764; GO:0005634; GO:0006357; GO:0007411; GO:0009593; GO:0016048; GO:0021516; GO:0021559; GO:0050954; GO:1990837	IPR009057;IPR017970;IPR001356;IPR003654;
A6NNF4	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A6NP11	GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A8K0R7	GO:0046872	IPR031885;IPR039946;IPR013087;
A8K8V0	GO:0000122; GO:0000977; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A8MQ14	GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A8MT65	GO:0000122; GO:0000977; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A8MT69	GO:0000712; GO:0000777; GO:0003677; GO:0005654; GO:0031297; GO:0031398; GO:0034080; GO:0036297; GO:0043240; GO:0051301; GO:0051382; GO:0071821	IPR018552;
A8MTJ6	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009653; GO:0030154	IPR001766;IPR018122;IPR030456;IPR036388;IPR036390;
A8MTQ0	GO:0000785; GO:0000978; GO:0000981; GO:0001947; GO:0005634; GO:0006357; GO:0007417; GO:0009880; GO:0009953; GO:0030182; GO:0030903; GO:0044458; GO:1902017; GO:1990837	IPR009057;IPR001356;
A8MUV8	GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A8MUZ8	GO:0000122; GO:0000977; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A8MV65	GO:0005634; GO:0006357	IPR006627;IPR011520;
A8MWA4	GO:0000122; GO:0000977; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A8MXY4	GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A8MYZ6	GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0005737; GO:0006357; GO:0007613; GO:0060999	IPR001766;IPR032067;IPR030456;IPR036388;IPR036390;
A8MZ59	GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0006357	IPR009057;IPR001356;
A9YTQ3	GO:0000785; GO:0000976; GO:0000981; GO:0004879; GO:0005634; GO:0005654; GO:0005829; GO:0006357; GO:0006805; GO:0034751; GO:0046983	IPR039091;IPR039092;IPR011598;IPR036638;IPR000014;IPR035965;IPR013767;
B1APH4	GO:0000122; GO:0000785; GO:0000977; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
B1Q2B0	GO:0003700; GO:0005634; GO:0008270; GO:0016021	IPR034078;IPR019786;IPR000967;IPR001841;
B2CW77	GO:0003677; GO:0005654; GO:0005730; GO:0006915; GO:0007050	
B2RD01	GO:0003677; GO:0005634	IPR009057;IPR006600;IPR007889;IPR036388;
B2RXF5	GO:0000122; GO:0000978; GO:0000981; GO:0005634; GO:0005654; GO:0005737; GO:0005886; GO:0006357; GO:0007517; GO:0046872	IPR000210;IPR011333;IPR036236;IPR013087;
B2RXH2	GO:0005634; GO:0006338; GO:0032452; GO:0032454; GO:0033169; GO:0046872; GO:0051213	IPR003347;IPR003349;
B2RXH8	GO:0003723; GO:0005634; GO:0042802	IPR017347;IPR012677;IPR035979;IPR000504;
B4DU55	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
B4DX44	GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
B4DXR9	GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
B5ME19	GO:0001732; GO:0003743; GO:0005852; GO:0006413; GO:0016282; GO:0031369; GO:0033290	IPR027516;IPR008905;IPR000717;IPR036388;IPR036390;
B7Z6K7	GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
C0SQ93	GO:0003707; GO:0004879; GO:0005496; GO:0005634; GO:0008270; GO:0043565; GO:0048384	IPR035500;IPR000536;IPR001723;IPR027289;IPR024178;IPR003078;IPR001628;IPR013088;
C4PGM0		IPR036236;IPR013087;
C9JBD0	GO:0006355	IPR001909;IPR036051;
C9JCN9	GO:0003714; GO:0005634; GO:0005829; GO:0070370	IPR009643;
C9JLR9	GO:0045892	IPR040647;IPR013087;
C9JN71	GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
C9JSJ3	GO:0003677; GO:0005634; GO:0006357; GO:0007283; GO:0046983; GO:0048477; GO:0051321; GO:0071300; GO:0090427	IPR011598;IPR036638;IPR009071;IPR036910;
D5K9S7	GO:0003677; GO:0003700; GO:0005634	IPR010982;IPR000327;IPR015585;
D5K9W5	GO:0000981; GO:0003677; GO:0005634	IPR009057;IPR017970;IPR001356;IPR010982;IPR013847;IPR000327;IPR015585;
D6RGH6	GO:0003713; GO:0005634; GO:0007049; GO:0007346; GO:0008156; GO:0016604; GO:0042802; GO:0044458; GO:0045786; GO:0045944; GO:0060271; GO:0098534; GO:1902017; GO:1903251	IPR022786;IPR029699;
E7ETH6	GO:0000122; GO:0000977; GO:0000981; GO:0001227; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
E9PAV3	GO:0003677; GO:0005634; GO:0005737; GO:0005854; GO:0006612; GO:0051082	IPR016641;IPR044034;IPR038187;IPR002715;
E9PGG2	GO:0000978; GO:0000981; GO:0001654; GO:0005634; GO:0005667; GO:0006357	IPR009057;IPR017970;IPR001356;IPR031701;
F1D8P8	GO:0004879; GO:0005654; GO:0005829; GO:0008270; GO:0043565	IPR042153;IPR035500;IPR000536;IPR001723;IPR000324;IPR001628;IPR013088;
F1D8P9	GO:0004879; GO:0005654; GO:0008270; GO:0010628; GO:0016604; GO:0043565; GO:0045111	IPR035500;IPR000536;IPR001723;IPR001628;IPR013088;
G4VV16	GO:0003677; GO:0004879; GO:0005496; GO:0005634; GO:0030521	IPR001103;
L8B7P7	GO:0000978; GO:0001228; GO:0003334; GO:0003382; GO:0005634; GO:0008285; GO:0010837; GO:0019216; GO:0021773; GO:0021902; GO:0031077; GO:0033077; GO:0033153; GO:0042475; GO:0043005; GO:0043066; GO:0043368; GO:0045664; GO:0046632; GO:0048538; GO:0071678	IPR036236;IPR013087;
O00110	GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009913; GO:0046872	IPR027756;IPR036236;IPR013087;
O00141	GO:0001558; GO:0004674; GO:0004712; GO:0005246; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005789; GO:0005829; GO:0005886; GO:0006468; GO:0006814; GO:0006915; GO:0006974; GO:0007616; GO:0008217; GO:0015459; GO:0016607; GO:0017080; GO:0017081; GO:0018105; GO:0030334; GO:0032411; GO:0034220; GO:0035556; GO:0042127; GO:0042981; GO:0048812; GO:0050790; GO:0051090; GO:0060453; GO:0070294; GO:0106310; GO:0106311; GO:1901796; GO:1904045	IPR000961;IPR011009;IPR017892;IPR000719;IPR017441;IPR008271;
O00151	GO:0001666; GO:0001725; GO:0003713; GO:0003779; GO:0005667; GO:0005737; GO:0005856; GO:0005912; GO:0005925; GO:0006357; GO:0006979; GO:0007507; GO:0010761; GO:0030011; GO:0030018; GO:0030036; GO:0030950; GO:0031941; GO:0043149; GO:0046872; GO:0051371; GO:0061061; GO:0098641	IPR031847;IPR028537;IPR001478;IPR036034;IPR006643;IPR001781;
O00165	GO:0000932; GO:0005635; GO:0005667; GO:0005739; GO:0005741; GO:0005758; GO:0005783; GO:0005938; GO:0014068; GO:0015629; GO:0016324; GO:0016529; GO:0019966; GO:0030027; GO:0030136; GO:0030833; GO:0030854; GO:0031965; GO:0033138; GO:0042981; GO:0043066; GO:0045944; GO:0047485; GO:0050731; GO:0051897; GO:0071345; GO:1903146; GO:1903214; GO:2000251	IPR017248;
O00167	GO:0000287; GO:0004725; GO:0005634; GO:0005654; GO:0005739; GO:0005829; GO:0006281; GO:0007501; GO:0008134; GO:0014706; GO:0016576; GO:0030154; GO:0045739; GO:0048856; GO:0097192; GO:0097345; GO:2001240	IPR028473;IPR006545;IPR042577;IPR038102;IPR028472;IPR036412;
O00170	GO:0003713; GO:0003755; GO:0005654; GO:0005737; GO:0005829; GO:0006626; GO:0006805; GO:0008134; GO:0010738; GO:0016020; GO:0017162; GO:0022417; GO:0034751; GO:0035722; GO:0036004; GO:0051082; GO:0051344	IPR031208;IPR039663;IPR001179;IPR013026;IPR011990;IPR019734;
O00182	GO:0002519; GO:0005534; GO:0005615; GO:0005634; GO:0005737; GO:0005829; GO:0006935; GO:0006954; GO:0007565; GO:0010628; GO:0010629; GO:0016936; GO:0019899; GO:0030246; GO:0032496; GO:0032682; GO:0032689; GO:0032720; GO:0032729; GO:0032731; GO:0032733; GO:0032735; GO:0032736; GO:0032753; GO:0032755; GO:0032757; GO:0032760; GO:0032834; GO:0038066; GO:0043123; GO:0043305; GO:0045953; GO:0046007; GO:0046598; GO:0048030; GO:0051092; GO:0060135; GO:0062023; GO:0070241; GO:0070371; GO:0070374; GO:0070555; GO:0071346; GO:0071636; GO:0071639; GO:0098586; GO:1901224; GO:2000510; GO:2000562; GO:2000563; GO:2000670; GO:2001190; GO:2001200; GO:2001269	IPR013320;IPR044156;IPR001079;
O00206	GO:0000187; GO:0001530; GO:0001540; GO:0001726; GO:0001875; GO:0001891; GO:0002218; GO:0002224; GO:0002322; GO:0002537; GO:0002730; GO:0002755; GO:0002756; GO:0004888; GO:0005102; GO:0005737; GO:0005769; GO:0005794; GO:0005886; GO:0005887; GO:0006909; GO:0006954; GO:0006955; GO:0007249; GO:0007252; GO:0009897; GO:0009986; GO:0010008; GO:0010572; GO:0010628; GO:0010838; GO:0014002; GO:0016046; GO:0030890; GO:0031226; GO:0031663; GO:0032496; GO:0032497; GO:0032689; GO:0032700; GO:0032707; GO:0032715; GO:0032720; GO:0032722; GO:0032727; GO:0032728; GO:0032729; GO:0032731; GO:0032732; GO:0032733; GO:0032735; GO:0032755; GO:0032757; GO:0032760; GO:0034128; GO:0034142; GO:0035666; GO:0038023; GO:0042088; GO:0042116; GO:0042742; GO:0042802; GO:0043032; GO:0043123; GO:0043235; GO:0045087; GO:0045348; GO:0045429; GO:0045671; GO:0045944; GO:0046330; GO:0046696; GO:0046982; GO:0048471; GO:0050135; GO:0050729; GO:0050829; GO:0051092; GO:0051770; GO:0060729; GO:0060907; GO:0061809; GO:0070266; GO:0070373; GO:0070374; GO:0070430; GO:0070434; GO:0071222; GO:0071223; GO:0071260; GO:0071346; GO:0097190; GO:0120163; GO:0140052; GO:1900017; GO:1900227; GO:1901224; GO:1903223; GO:1903428; GO:1903974; GO:1904466; GO:1904646; GO:2000343	IPR000483;IPR001611;IPR003591;IPR032675;IPR000157;IPR017241;IPR035897;
O00213	GO:0000122; GO:0001540; GO:0003682; GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0005783; GO:0005886; GO:0006302; GO:0006355; GO:0006915; GO:0006974; GO:0007050; GO:0007165; GO:0007409; GO:0008134; GO:0016607; GO:0030027; GO:0030308; GO:0030426; GO:0031625; GO:0042393; GO:0043065; GO:0043967; GO:0045202; GO:0045893; GO:0045944; GO:0050714; GO:0050750; GO:0070064	IPR039576;IPR011993;IPR006020;IPR001202;IPR036020;
O00221	GO:0001650; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0042942; GO:0042994; GO:0048471	IPR002110;IPR020683;IPR036770;
O00231	GO:0000165; GO:0000209; GO:0000502; GO:0002223; GO:0002479; GO:0005198; GO:0005576; GO:0005634; GO:0005654; GO:0005829; GO:0006511; GO:0006521; GO:0008541; GO:0010972; GO:0016020; GO:0016579; GO:0022624; GO:0031145; GO:0031146; GO:0033209; GO:0034774; GO:0036388; GO:0038061; GO:0038095; GO:0043161; GO:0043248; GO:0043312; GO:0043488; GO:0043687; GO:0048863; GO:0050852; GO:0055085; GO:0060071; GO:0061418; GO:0070498; GO:0090090; GO:0090263; GO:1901990; GO:1902036; GO:1904813	IPR000717;IPR035295;IPR040780;IPR040773;IPR011990;IPR036390;
O00232	GO:0000165; GO:0000209; GO:0000502; GO:0002223; GO:0002479; GO:0005576; GO:0005654; GO:0005737; GO:0005829; GO:0005838; GO:0006521; GO:0008541; GO:0010972; GO:0016020; GO:0016579; GO:0022624; GO:0031145; GO:0031146; GO:0031595; GO:0033209; GO:0034774; GO:0036388; GO:0038061; GO:0038095; GO:0043161; GO:0043312; GO:0043488; GO:0043687; GO:0050852; GO:0055085; GO:0060071; GO:0061418; GO:0070062; GO:0070498; GO:0090090; GO:0090263; GO:1901990; GO:1902036; GO:1904813	IPR000717;IPR035297;IPR040134;IPR040896;IPR036388;IPR036390;
O00233	GO:0000165; GO:0000209; GO:0002223; GO:0002479; GO:0003713; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005838; GO:0006511; GO:0006521; GO:0010972; GO:0016579; GO:0031145; GO:0031146; GO:0032024; GO:0033209; GO:0036388; GO:0038061; GO:0038095; GO:0043161; GO:0043425; GO:0043488; GO:0043687; GO:0045893; GO:0046676; GO:0050852; GO:0055085; GO:0060071; GO:0061418; GO:0070498; GO:0070682; GO:0090090; GO:0090263; GO:1901990; GO:1902036	IPR040815;IPR001478;IPR041489;IPR036034;IPR035269;
O00237	GO:0004842; GO:0005783; GO:0005789; GO:0007417; GO:0016021; GO:0016567; GO:0030433; GO:0044322; GO:0046872; GO:1904380	IPR042494;IPR001841;IPR013083;
O00255	GO:0000122; GO:0000165; GO:0000400; GO:0000403; GO:0000781; GO:0000785; GO:0000976; GO:0001933; GO:0002076; GO:0003682; GO:0003690; GO:0005634; GO:0005654; GO:0005737; GO:0005788; GO:0005829; GO:0006281; GO:0006357; GO:0006974; GO:0008285; GO:0009411; GO:0010332; GO:0016363; GO:0030511; GO:0030674; GO:0032092; GO:0032154; GO:0032991; GO:0034968; GO:0035097; GO:0043433; GO:0043687; GO:0044267; GO:0045668; GO:0045736; GO:0045786; GO:0045892; GO:0045944; GO:0046329; GO:0047485; GO:0051974; GO:0070412; GO:1904837	IPR007747;
O00257	GO:0000122; GO:0000976; GO:0003682; GO:0003714; GO:0003727; GO:0005634; GO:0005654; GO:0006325; GO:0016604; GO:0016607; GO:0019789; GO:0019899; GO:0031519; GO:0032183; GO:0035064; GO:0035102; GO:0043066; GO:0045892; GO:0051219; GO:0061665	IPR043531;IPR033773;IPR016197;IPR000953;IPR017984;IPR023780;IPR023779;
O00267	GO:0000122; GO:0003682; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0006357; GO:0006366; GO:0006368; GO:0006370; GO:0016239; GO:0019899; GO:0032044; GO:0032785; GO:0032786; GO:0045944; GO:0046982; GO:0050434; GO:1900364	IPR005824;IPR041973;IPR041975;IPR041976;IPR041977;IPR041978;IPR041980;IPR005100;IPR006645;IPR036735;IPR039385;IPR014722;IPR039659;IPR024945;IPR022581;IPR017071;IPR008991;
O00268	GO:0000785; GO:0001541; GO:0003677; GO:0005654; GO:0005669; GO:0005829; GO:0006352; GO:0006366; GO:0006367; GO:0016032; GO:0017162; GO:0032991; GO:0033276; GO:0046982; GO:0071339; GO:1901796	IPR009072;IPR007900;IPR037249;IPR003894;
O00287	GO:0003677; GO:0005634; GO:0006357; GO:0016607; GO:0045944; GO:0090575	IPR038308;IPR029316;
O00291	GO:0005154; GO:0005200; GO:0005634; GO:0005737; GO:0005794; GO:0005829; GO:0005856; GO:0006897; GO:0006915; GO:0006919; GO:0007015; GO:0016020; GO:0030100; GO:0030136; GO:0030154; GO:0030276; GO:0030665; GO:0031234; GO:0032051; GO:0032266; GO:0035091; GO:0035254; GO:0035612; GO:0035615; GO:0042803; GO:0042981; GO:0043231; GO:0043325; GO:0045742; GO:0046982; GO:0048260; GO:0048268; GO:0050821; GO:0051015; GO:0051897; GO:0061024; GO:0072583; GO:0080025; GO:0097190; GO:0098793; GO:0098794; GO:0098888; GO:0098890; GO:0098978; GO:0099637; GO:2000588	IPR011417;IPR013809;IPR008942;IPR030554;IPR032422;IPR035964;IPR002558;IPR030224;
O00294	GO:0001750; GO:0001895; GO:0001917; GO:0005546; GO:0005576; GO:0005829; GO:0005886; GO:0005929; GO:0006910; GO:0007601; GO:0016358; GO:0042462; GO:0042995; GO:0043679; GO:0045202; GO:0045494; GO:0050766; GO:0050908; GO:0051015; GO:0060041; GO:0061512; GO:1903546	IPR025659;IPR000007;IPR018066;
O00295	GO:0005576; GO:0005737; GO:0005929; GO:0007601; GO:0044877; GO:0061512	IPR025659;IPR000007;IPR018066;IPR005398;
O00308	GO:0000122; GO:0000151; GO:0000209; GO:0001085; GO:0004842; GO:0005634; GO:0005737; GO:0005829; GO:0006464; GO:0006858; GO:0008134; GO:0010629; GO:0016020; GO:0016567; GO:0032410; GO:0034765; GO:0042391; GO:0043161; GO:0043433; GO:0045732; GO:0045746; GO:0045892; GO:0046718; GO:0051224; GO:0051865; GO:0061630; GO:0070062; GO:0070534; GO:1901016	IPR000008;IPR035892;IPR024928;IPR000569;IPR035983;IPR001202;IPR036020;
O00321	GO:0000978; GO:0000981; GO:0001228; GO:0001824; GO:0001890; GO:0005634; GO:0006357; GO:0007219; GO:0010628; GO:0016055; GO:0030154; GO:0030218; GO:0045603; GO:0048514; GO:0060803; GO:1990837; GO:2000382	IPR000418;IPR036388;IPR036390;
O00327	GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0003677; GO:0005634; GO:0005654; GO:0005667; GO:0006355; GO:0006357; GO:0007283; GO:0007623; GO:0016605; GO:0017162; GO:0032007; GO:0032922; GO:0033391; GO:0034751; GO:0042634; GO:0042753; GO:0043161; GO:0043231; GO:0043565; GO:0045599; GO:0045892; GO:0045893; GO:0045944; GO:0046983; GO:0050767; GO:0050796; GO:0051726; GO:0051775; GO:0051879; GO:0070888; GO:0090263; GO:0090403; GO:0120163; GO:0140297; GO:1901985; GO:1990837; GO:2000074; GO:2000323; GO:2000772; GO:2001016	IPR011598;IPR036638;IPR001067;IPR001610;IPR000014;IPR035965;IPR013767;
O00358	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0006357; GO:0006590; GO:0009653; GO:0016477; GO:0030154; GO:0030878; GO:0031069; GO:0043565; GO:0045892; GO:0045893; GO:0048538; GO:0048562; GO:0060022; GO:0060023; GO:0060465; GO:1904888; GO:1990837	IPR001766;IPR018122;IPR030456;IPR036388;IPR036390;
