Entry	Name	GO annotations	Interpro domains	DeepTF score	GO annotations no IEA
A5YKK6	CNOT1	GO:0004535 GO:0003723 GO:0003723 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0019904 GO:0030331 GO:0042974 GO:0060090 GO:0060090 GO:0070016 GO:0000122 GO:0000288 GO:0001829 GO:0010606 GO:0017148 GO:0033147 GO:0035195 GO:0035195 GO:0048387 GO:0060213 GO:0060213 GO:0061014 GO:0090503 GO:1900153 GO:2000036 GO:0000932 GO:0000932 GO:0000932 GO:0005615 GO:0005634 GO:0005829 GO:0005829 GO:0005829 GO:0016020 GO:0030014 GO:0030015	IPR007196;IPR024557;IPR040398;IPR032191;IPR032194;IPR032193;IPR038535;IPR016021;	NA	GO:0004535 GO:0003723 GO:0003723 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0019904 GO:0030331 GO:0042974 GO:0060090 GO:0060090 GO:0070016 GO:0000122 GO:0000288 GO:0010606 GO:0017148 GO:0033147 GO:0035195 GO:0035195 GO:0048387 GO:0060213 GO:0060213 GO:0061014 GO:1900153 GO:2000036 GO:0000932 GO:0000932 GO:0000932 GO:0005615 GO:0005829 GO:0005829 GO:0005829 GO:0016020 GO:0030014 GO:0030015
A6H8Y1	BDP1	GO:0001156 GO:0005515 GO:0070898 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0000126	IPR009057;IPR001005;IPR039467;	NA	GO:0001156 GO:0005515 GO:0070898 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0000126
A6NCS4	NKX2-6	GO:0000977 GO:0000978 GO:0000981 GO:0000981 GO:0001228 GO:0003700 GO:0006357 GO:0008284 GO:0021854 GO:0030154 GO:0030154 GO:0035050 GO:0035050 GO:0043066 GO:0043586 GO:0045944 GO:0048565 GO:0055014 GO:0055015 GO:0060037 GO:0060039 GO:0005634 GO:0005634 GO:0000785	IPR009057;IPR017970;IPR001356;IPR020479;	0.9985	GO:0000977 GO:0000978 GO:0000981 GO:0000981 GO:0001228 GO:0003700 GO:0006357 GO:0008284 GO:0021854 GO:0030154 GO:0030154 GO:0035050 GO:0035050 GO:0043066 GO:0043586 GO:0045944 GO:0048565 GO:0055014 GO:0055015 GO:0060037 GO:0060039 GO:0005634 GO:0005634 GO:0000785
A6ND36	FAM83G	GO:0005515 GO:0005515 GO:0005515 GO:0019901 GO:0007165 GO:0030509 GO:0030509 GO:0005634 GO:0005829 GO:0005634 GO:0005829 GO:0005829	IPR012461;	0.0133	GO:0005515 GO:0005515 GO:0005515 GO:0019901 GO:0007165 GO:0030509 GO:0030509 GO:0005634 GO:0005829 GO:0005634 GO:0005829 GO:0005829
A6NDR6	MEIS3P1	GO:0000978 GO:0000981 GO:0001228 GO:0001654 GO:0006357 GO:0007420 GO:0008284 GO:0009880 GO:0009887 GO:0045944 GO:0005634	IPR009057;IPR001356;IPR008422;IPR032453;	NA	GO:0000978 GO:0000981 GO:0001228 GO:0001654 GO:0006357 GO:0007420 GO:0008284 GO:0009880 GO:0009887 GO:0045944
A6NDX5	ZNF840P	GO:0000978 GO:0001228 GO:0046872 GO:0006357 GO:0045944 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	NA	GO:0000978 GO:0001228 GO:0006357 GO:0005634
A6NDZ8	MBD3L4	NA	IPR032343;IPR025884;	0.0163	NA
A6NE82	MBD3L3	GO:0005515	IPR032343;IPR025884;	0.0241	GO:0005515
A6NFC5	TMEM235	GO:0016324 GO:0005783 GO:0016021	IPR004031;IPR039951;	0.0032	GO:0016324
A6NFD8	HELT	GO:0000978 GO:0000981 GO:0000981 GO:0001227 GO:0042802 GO:0046983 GO:0000122 GO:0001967 GO:0006357 GO:0007417 GO:0009791 GO:0009952 GO:0010259 GO:0010467 GO:0021858 GO:0035264 GO:0045944 GO:0050767 GO:0005634 GO:0000785 GO:0005667	IPR011598;IPR036638;IPR003650;	0.9927	GO:0000978 GO:0000981 GO:0000981 GO:0006357 GO:0009952 GO:0050767 GO:0005634 GO:0000785
A6NFI3	ZNF316	GO:0000981 GO:0043565 GO:0046872 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	NA	GO:0000981 GO:0043565 GO:0006357 GO:0005634
A6NFQ7	DPRX	GO:0000978 GO:0000981 GO:0000981 GO:1990837 GO:0006357 GO:0005634 GO:0000785	IPR009057;IPR017970;IPR001356;	0.9458	GO:0000978 GO:0000981 GO:0000981 GO:1990837 GO:0006357 GO:0005634 GO:0000785
A6NGD5	ZSCAN5C	GO:0000978 GO:0000981 GO:0046872 GO:0006357 GO:0005634	IPR003309;IPR038269;IPR036236;IPR013087;	NA	GO:0000978 GO:0000981 GO:0006357
A6NGN4	PRAMEF25	GO:0008284 GO:0043066 GO:0045596 GO:0045892 GO:0005737	IPR032675;IPR026271;	0.0495	GO:0005737
A6NHJ4	ZNF860	GO:0000978 GO:0000981 GO:0005515 GO:0005515 GO:0046872 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.9973	GO:0000978 GO:0000981 GO:0005515 GO:0005515 GO:0006357 GO:0005634
A6NHT5	HMX3	GO:0000977 GO:0000981 GO:0000981 GO:0006357 GO:0007420 GO:0007566 GO:0030154 GO:0042472 GO:0050885 GO:0060135 GO:0005634 GO:0000785	IPR009057;IPR017970;IPR001356;IPR020479;	0.9961	GO:0000977 GO:0000981 GO:0000981 GO:0006357 GO:0005634 GO:0000785
A6NI15	MSGN1	GO:0000978 GO:0000981 GO:0000981 GO:0001228 GO:0003682 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0046983 GO:1990837 GO:0001707 GO:0001756 GO:0006357 GO:0007379 GO:0030154 GO:0045944 GO:0005634 GO:0000785	IPR011598;IPR036638;IPR040259;	0.9542	GO:0000978 GO:0000981 GO:0000981 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:1990837 GO:0001707 GO:0006357 GO:0005634 GO:0000785
A6NIX2	WTIP	GO:0035195 GO:0003714 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0046872 GO:0001666 GO:0001666 GO:0006355 GO:0007010 GO:0007010 GO:0022604 GO:0030030 GO:0035331 GO:0035331 GO:0045892 GO:2000637 GO:2000637 GO:0000932 GO:0005634 GO:0005912 GO:0000932 GO:0005667	IPR001781;	0.3217	GO:0035195 GO:0003714 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0001666 GO:0001666 GO:0006355 GO:0007010 GO:0007010 GO:0022604 GO:0035331 GO:0035331 GO:2000637 GO:2000637 GO:0000932 GO:0005634 GO:0005912 GO:0000932 GO:0005667
A6NJ08	MBD3L5	NA	IPR032343;IPR025884;	0.0163	NA
A6NJ46	NKX6-3	GO:0000978 GO:0000978 GO:0000981 GO:0000981 GO:0001227 GO:0001228 GO:0001228 GO:0043565 GO:1990837 GO:1990837 GO:0000122 GO:0001709 GO:0002067 GO:0006357 GO:0030154 GO:0030857 GO:0045944 GO:0045944 GO:0005634 GO:0000785	IPR009057;IPR017970;IPR001356;IPR020479;IPR000047;	0.9938	GO:0000978 GO:0000978 GO:0000981 GO:0000981 GO:0001227 GO:0001228 GO:0001228 GO:0043565 GO:1990837 GO:1990837 GO:0000122 GO:0006357 GO:0030154 GO:0045944 GO:0045944 GO:0005634 GO:0000785
A6NJG6	ARGFX	GO:0000978 GO:0000981 GO:0000981 GO:1990837 GO:0006357 GO:0005634 GO:0000785	IPR009057;IPR017970;IPR001356;	0.9922	GO:0000978 GO:0000981 GO:0000981 GO:1990837 GO:0006357 GO:0005634 GO:0000785
A6NJL1	ZSCAN5B	GO:0000978 GO:0000981 GO:0005515 GO:0005515 GO:0005515 GO:0046872 GO:0006357 GO:0005634	IPR003309;IPR038269;IPR036236;IPR013087;	0.9959	GO:0000978 GO:0000981 GO:0005515 GO:0005515 GO:0005515 GO:0006357
A6NJT0	UNCX	GO:0000981 GO:1990837 GO:1990837 GO:0001502 GO:0006357 GO:0007389 GO:0010468 GO:0021516 GO:0021889 GO:0035726 GO:0045595 GO:0005634 GO:0000785	IPR009057;IPR017970;IPR001356;	0.9975	GO:0000981 GO:1990837 GO:1990837 GO:0010468 GO:0000785
A6NK06	ACOD1	GO:0047613 GO:0047613 GO:0002760 GO:0006952 GO:0006952 GO:0006954 GO:0007566 GO:0032088 GO:0032480 GO:0034136 GO:0034144 GO:0035458 GO:0045824 GO:0050728 GO:0051607 GO:0071219 GO:0071222 GO:0071222 GO:0071346 GO:0071347 GO:0071356 GO:0071393 GO:0072573 GO:2000379 GO:0005739 GO:0005739	IPR036148;IPR042183;IPR042188;IPR005656;	0.0105	GO:0047613 GO:0047613 GO:0002760 GO:0006952 GO:0006952 GO:0007566 GO:0032088 GO:0032480 GO:0034136 GO:0034144 GO:0035458 GO:0045824 GO:0050728 GO:0051607 GO:0071219 GO:0071222 GO:0071222 GO:0071346 GO:0071347 GO:0071356 GO:0071393 GO:0072573 GO:2000379 GO:0005739 GO:0005739
A6NK53	ZNF233	GO:0000978 GO:0000981 GO:0046872 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.9908	GO:0000978 GO:0000981 GO:0006357 GO:0005634
A6NK75	ZNF98	GO:0000978 GO:0000981 GO:0046872 GO:0006355 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.9995	GO:0000978 GO:0000981 GO:0006355
A6NKF2	ARID3C	GO:0003677 GO:0003682 GO:0005515 GO:0005515 GO:0005515 GO:0006357 GO:0045944 GO:0005634 GO:0005737 GO:0045121	IPR001606;IPR036431;IPR023334;	0.9848	GO:0003677 GO:0005515 GO:0005515 GO:0005515 GO:0006357 GO:0005634 GO:0045121
A6NLW8	DUXA	GO:0000977 GO:0000981 GO:0000981 GO:1990837 GO:0006357 GO:0005634 GO:0000785	IPR009057;IPR001356;IPR000047;	0.9965	GO:0000977 GO:0000981 GO:0000981 GO:1990837 GO:0006357 GO:0005634 GO:0000785
A6NM28	ZFP92	GO:0000978 GO:0000981 GO:0046872 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.989	GO:0000978 GO:0000981 GO:0006357 GO:0005634
A6NMK7	CPSF4L	GO:0003723 GO:0046872 GO:0098789 GO:0005847	IPR000571;IPR036855;	0.0135	GO:0098789 GO:0005847
A6NMT0	DBX1	GO:0000981 GO:0003677 GO:0003677 GO:0005515 GO:0006357 GO:0021515 GO:0021521 GO:0005634 GO:0000785	IPR009057;IPR017970;IPR001356;IPR020479;IPR000047;	0.4548	GO:0000981 GO:0005515 GO:0006357 GO:0021515 GO:0000785
A6NN14	ZNF729	GO:0000978 GO:0001228 GO:0046872 GO:0006357 GO:0045944 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	NA	GO:0000978 GO:0001228 GO:0006357 GO:0005634
A6NNA5	DRGX	GO:0000977 GO:0000981 GO:0000981 GO:1990837 GO:0001764 GO:0006357 GO:0007411 GO:0009593 GO:0016048 GO:0021516 GO:0021559 GO:0050954 GO:0005634 GO:0000785	IPR009057;IPR017970;IPR001356;IPR003654;	0.9942	GO:0000977 GO:0000981 GO:0000981 GO:1990837 GO:0006357 GO:0000785
A6NNF4	ZNF726	GO:0000978 GO:0000981 GO:0046872 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.9996	GO:0000978 GO:0000981 GO:0006357 GO:0005634
A6NP11	ZNF716	GO:0000978 GO:0000981 GO:0046872 GO:0006355 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.9999	GO:0000978 GO:0000981 GO:0006355
A6QL63	BTBD11	GO:0046982 GO:0060395 GO:0016021	IPR002110;IPR020683;IPR036770;IPR000210;IPR009072;IPR011333;	NA	GO:0060395
A8K0R7	ZNF839	GO:0046872	IPR031885;IPR039946;IPR013087;	0.0247	NA
A8K0S8	MEIS3P2	GO:0000978 GO:0000981 GO:0001228 GO:0001654 GO:0006357 GO:0007420 GO:0008284 GO:0009880 GO:0009887 GO:0045944 GO:0005634	IPR009057;IPR001356;IPR008422;IPR032453;	NA	GO:0000978 GO:0000981 GO:0001228 GO:0001654 GO:0006357 GO:0007420 GO:0008284 GO:0009880 GO:0009887 GO:0045944
A8K8V0	ZNF785	GO:0000977 GO:0000981 GO:0001227 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0046872 GO:0000122 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.9722	GO:0000977 GO:0000981 GO:0001227 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0000122 GO:0006357
A8MQ14	ZNF850	GO:0000978 GO:0001228 GO:0046872 GO:0006357 GO:0045944 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	NA	GO:0000978 GO:0001228 GO:0006357 GO:0005634
A8MT65	ZNF891	GO:0000977 GO:0000981 GO:0001227 GO:0046872 GO:0000122 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.9997	GO:0000977 GO:0000981 GO:0001227 GO:0000122 GO:0006357
A8MT69	CENPX	GO:0003690 GO:0003677 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0000712 GO:0000712 GO:0031297 GO:0031297 GO:0031398 GO:0036297 GO:0051301 GO:0051382 GO:0000776 GO:0000785 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0071821 GO:0043240 GO:0043240 GO:0043240 GO:0071821 GO:0071821	IPR018552;	0.0105	GO:0003690 GO:0003677 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0000712 GO:0000712 GO:0031297 GO:0031297 GO:0031398 GO:0036297 GO:0000785 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0071821 GO:0043240 GO:0043240 GO:0043240 GO:0071821 GO:0071821
A8MTJ6	FOXI3	GO:0000978 GO:0000981 GO:0006357 GO:0009653 GO:0030154 GO:0005634	IPR001766;IPR018122;IPR030456;IPR036388;IPR036390;	0.9986	GO:0000978 GO:0000981 GO:0006357 GO:0009653 GO:0030154
A8MTQ0	NOTO	GO:0000978 GO:0000981 GO:0000981 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:1990837 GO:0001947 GO:0006357 GO:0007417 GO:0009880 GO:0009953 GO:0030182 GO:0030903 GO:0044458 GO:1902017 GO:0005634 GO:0000785	IPR009057;IPR001356;	0.939	GO:0000978 GO:0000981 GO:0000981 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:1990837 GO:0006357 GO:0007417 GO:0030182 GO:0005634 GO:0000785
A8MTY0	ZNF724	GO:0000978 GO:0000981 GO:0046872 GO:0006355 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	NA	GO:0000978 GO:0000981 GO:0006355
A8MUV8	ZNF727	GO:0000978 GO:0000981 GO:0046872 GO:0006355 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.998	GO:0000978 GO:0000981 GO:0006355
A8MUZ8	ZNF705G	GO:0000977 GO:0000981 GO:0001227 GO:0046872 GO:0000122 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.9994	GO:0000977 GO:0000981 GO:0001227 GO:0000122 GO:0006357
A8MV65	VGLL3	GO:0006357 GO:0005634	IPR006627;IPR011520;	0.0278	GO:0006357 GO:0005634
A8MVS1	ZNF705F	GO:0000977 GO:0000981 GO:0001227 GO:0046872 GO:0000122 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	NA	GO:0000977 GO:0000981 GO:0001227 GO:0000122 GO:0006357
A8MWA4	ZNF705E	GO:0000977 GO:0000981 GO:0001227 GO:0046872 GO:0000122 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.9992	GO:0000977 GO:0000981 GO:0001227 GO:0000122 GO:0006357
A8MXY4	ZNF99	GO:0000978 GO:0001228 GO:0046872 GO:0006357 GO:0045944 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.9999	GO:0000978 GO:0001228 GO:0006357 GO:0005634
A8MYZ6	FOXO6	GO:0000978 GO:0000981 GO:0000981 GO:0000981 GO:0005515 GO:0006357 GO:0006357 GO:0007613 GO:0060999 GO:0005634 GO:0005634 GO:0005737 GO:0000785	IPR001766;IPR032067;IPR030456;IPR036388;IPR036390;	0.9972	GO:0000978 GO:0000981 GO:0000981 GO:0000981 GO:0005515 GO:0006357 GO:0006357 GO:0060999 GO:0005634 GO:0005634 GO:0005737 GO:0000785
